forecast_date,generated_at,SensorID,District,Latitude,Longitude,Muhit_harorat (C),Shamol_tezligi (km/h),Chastota (Hz),Kuchlanish (V),Vibratsiya,Sim_mexanik_holati (%),Atrof_muhit_humidity (%),Quvvati (kW),Fault_predicted,Fault_probability
2026-05-12,2026-05-11 17:17:10,S0001,Bektemir,41.287771,69.366731,46.1,5.6,49.61,214.0,0.687,91.3,53.4,4.51,2,0.7251
2026-05-13,2026-05-11 17:17:10,S0001,Bektemir,41.287771,69.366731,48.7,5.2,49.75,208.0,0.6583,93.0,52.8,4.65,2,0.7251
2026-05-14,2026-05-11 17:17:10,S0001,Bektemir,41.287771,69.366731,48.3,5.6,49.69,206.9,0.6875,93.0,51.4,5.29,2,0.7251
2026-05-15,2026-05-11 17:17:10,S0001,Bektemir,41.287771,69.366731,49.5,3.7,49.86,212.7,0.6302,93.5,55.7,4.9,2,0.7251
2026-05-16,2026-05-11 17:17:10,S0001,Bektemir,41.287771,69.366731,52.2,4.8,49.74,208.9,0.3792,90.1,50.0,5.1,2,0.7251
2026-05-17,2026-05-11 17:17:10,S0001,Bektemir,41.287771,69.366731,52.3,5.5,49.85,207.2,0.5533,94.1,47.7,5.26,2,0.7251
2026-05-18,2026-05-11 17:17:10,S0001,Bektemir,41.287771,69.366731,55.0,4.7,49.63,206.3,0.541,92.3,44.0,5.48,2,0.7251
2026-05-12,2026-05-11 17:17:10,S0002,Bektemir,41.288036,69.393192,37.4,7.2,50.15,213.0,0.361,86.0,44.7,3.7,0,0.033
2026-05-13,2026-05-11 17:17:10,S0002,Bektemir,41.288036,69.393192,34.6,8.0,50.11,217.0,0.3529,83.7,46.5,3.58,1,0.383
2026-05-14,2026-05-11 17:17:10,S0002,Bektemir,41.288036,69.393192,35.8,8.0,50.09,215.5,0.3356,89.2,37.7,3.22,0,0.033
2026-05-15,2026-05-11 17:17:10,S0002,Bektemir,41.288036,69.393192,36.8,8.8,50.11,211.4,0.4539,84.4,37.2,3.39,1,0.383
2026-05-16,2026-05-11 17:17:10,S0002,Bektemir,41.288036,69.393192,37.3,7.8,50.03,208.9,0.2523,87.0,41.6,3.89,1,0.383
2026-05-17,2026-05-11 17:17:10,S0002,Bektemir,41.288036,69.393192,34.8,5.2,50.07,207.9,0.5082,83.1,42.7,3.5,1,0.383
2026-05-18,2026-05-11 17:17:10,S0002,Bektemir,41.288036,69.393192,34.6,7.1,49.91,211.0,0.3468,84.5,44.7,3.55,1,0.383
2026-05-12,2026-05-11 17:17:10,S0003,Bektemir,41.292671,69.366938,42.6,5.3,49.28,227.2,0.8263,85.1,89.8,3.16,1,0.3701
2026-05-13,2026-05-11 17:17:10,S0003,Bektemir,41.292671,69.366938,39.7,5.3,49.19,227.1,0.7856,85.1,89.1,3.55,1,0.3701
2026-05-14,2026-05-11 17:17:10,S0003,Bektemir,41.292671,69.366938,42.6,7.0,48.98,228.2,0.7706,84.1,95.0,3.01,2,0.7201
2026-05-15,2026-05-11 17:17:10,S0003,Bektemir,41.292671,69.366938,40.1,7.1,49.2,230.4,0.7933,83.6,95.0,2.79,1,0.3701
2026-05-16,2026-05-11 17:17:10,S0003,Bektemir,41.292671,69.366938,40.9,8.8,48.95,232.1,0.6309,84.3,95.0,2.98,2,0.7201
2026-05-17,2026-05-11 17:17:10,S0003,Bektemir,41.292671,69.366938,38.8,7.4,49.02,230.0,0.7719,84.2,95.0,2.91,1,0.3701
